Address,Business info,Price range,Restaurant name,Review counts,Yes/No
"9710 Aurora Ave N, Seattle, WA 98103",Delivery,,El Patio,15,Yes
"9710 Aurora Ave N, Seattle, WA 98103",Take-out,,El Patio,15,Yes
"9710 Aurora Ave N, Seattle, WA 98103",Accepts Credit Cards,,El Patio,15,Yes
"9710 Aurora Ave N, Seattle, WA 98103",Good for Kids,,El Patio,15,Yes
"9710 Aurora Ave N, Seattle, WA 98103",Outdoor Seating,,El Patio,15,Yes
"9710 Aurora Ave N, Seattle, WA 98103",Wi-Fi,,El Patio,15,Paid
"401 NE Northgate Way, Seattle, WA 98126",Liked by Vegetarians,20.5,Azteca Mexican Restaurant,133,Yes
"401 NE Northgate Way, Seattle, WA 98126",Takes Reservations,20.5,Azteca Mexican Restaurant,133,No
"401 NE Northgate Way, Seattle, WA 98126",Delivery,20.5,Azteca Mexican Restaurant,133,No
"401 NE Northgate Way, Seattle, WA 98126",Take-out,20.5,Azteca Mexican Restaurant,133,Yes
"401 NE Northgate Way, Seattle, WA 98126",Accepts Credit Cards,20.5,Azteca Mexican Restaurant,133,Yes
"401 NE Northgate Way, Seattle, WA 98126",Accepts Apple Pay,20.5,Azteca Mexican Restaurant,133,No
"401 NE Northgate Way, Seattle, WA 98126",Good For,20.5,Azteca Mexican Restaurant,133,"Lunch, Dinner"
"401 NE Northgate Way, Seattle, WA 98126",Parking,20.5,Azteca Mexican Restaurant,133,Private Lot
"401 NE Northgate Way, Seattle, WA 98126",Bike Parking,20.5,Azteca Mexican Restaurant,133,Yes
"401 NE Northgate Way, Seattle, WA 98126",Good for Kids,20.5,Azteca Mexican Restaurant,133,Yes
"401 NE Northgate Way, Seattle, WA 98126",Good for Groups,20.5,Azteca Mexican Restaurant,133,Yes
"401 NE Northgate Way, Seattle, WA 98126",Attire,20.5,Azteca Mexican Restaurant,133,Casual
"401 NE Northgate Way, Seattle, WA 98126",Ambience,20.5,Azteca Mexican Restaurant,133,Casual
"401 NE Northgate Way, Seattle, WA 98126",Noise Level,20.5,Azteca Mexican Restaurant,133,Average
"401 NE Northgate Way, Seattle, WA 98126",Alcohol,20.5,Azteca Mexican Restaurant,133,Full Bar
"401 NE Northgate Way, Seattle, WA 98126",Happy Hour,20.5,Azteca Mexican Restaurant,133,Yes
"401 NE Northgate Way, Seattle, WA 98126",Outdoor Seating,20.5,Azteca Mexican Restaurant,133,Yes
"401 NE Northgate Way, Seattle, WA 98126",Wi-Fi,20.5,Azteca Mexican Restaurant,133,No
"401 NE Northgate Way, Seattle, WA 98126",Has TV,20.5,Azteca Mexican Restaurant,133,Yes
"401 NE Northgate Way, Seattle, WA 98126",Caters,20.5,Azteca Mexican Restaurant,133,Yes
"7200 Aurora Ave N, Seattle, WA 98103",Takes Reservations,10.0,El Naranjo,45,No
"7200 Aurora Ave N, Seattle, WA 98103",Delivery,10.0,El Naranjo,45,No
"7200 Aurora Ave N, Seattle, WA 98103",Take-out,10.0,El Naranjo,45,Yes
"7200 Aurora Ave N, Seattle, WA 98103",Accepts Credit Cards,10.0,El Naranjo,45,Yes
"7200 Aurora Ave N, Seattle, WA 98103",Good For,10.0,El Naranjo,45,Lunch
"7200 Aurora Ave N, Seattle, WA 98103",Parking,10.0,El Naranjo,45,"Street, Private Lot"
"7200 Aurora Ave N, Seattle, WA 98103",Bike Parking,10.0,El Naranjo,45,Yes
