,Address,Business info,Price range,Restaurant name,Review counts,Yes/No
0,"600 E Pine St, Seattle, WA 98122",Liked by Vegetarians,20.5,Fogón Cocina Mexicana,1148,Yes
1,"600 E Pine St, Seattle, WA 98122",Takes Reservations,20.5,Fogón Cocina Mexicana,1148,Yes
2,"600 E Pine St, Seattle, WA 98122",Delivery,20.5,Fogón Cocina Mexicana,1148,No
3,"600 E Pine St, Seattle, WA 98122",Take-out,20.5,Fogón Cocina Mexicana,1148,Yes
4,"600 E Pine St, Seattle, WA 98122",Accepts Credit Cards,20.5,Fogón Cocina Mexicana,1148,Yes
5,"600 E Pine St, Seattle, WA 98122",Accepts Apple Pay,20.5,Fogón Cocina Mexicana,1148,No
6,"600 E Pine St, Seattle, WA 98122",Accepts Google Pay,20.5,Fogón Cocina Mexicana,1148,No
7,"600 E Pine St, Seattle, WA 98122",Good For,20.5,Fogón Cocina Mexicana,1148,Dinner
8,"600 E Pine St, Seattle, WA 98122",Parking,20.5,Fogón Cocina Mexicana,1148,Street
9,"600 E Pine St, Seattle, WA 98122",Bike Parking,20.5,Fogón Cocina Mexicana,1148,Yes
10,"600 E Pine St, Seattle, WA 98122",Good for Kids,20.5,Fogón Cocina Mexicana,1148,Yes
11,"600 E Pine St, Seattle, WA 98122",Good for Groups,20.5,Fogón Cocina Mexicana,1148,Yes
12,"600 E Pine St, Seattle, WA 98122",Attire,20.5,Fogón Cocina Mexicana,1148,Casual
13,"600 E Pine St, Seattle, WA 98122",Ambience,20.5,Fogón Cocina Mexicana,1148,Casual
14,"600 E Pine St, Seattle, WA 98122",Noise Level,20.5,Fogón Cocina Mexicana,1148,Average
15,"600 E Pine St, Seattle, WA 98122",Alcohol,20.5,Fogón Cocina Mexicana,1148,Full Bar
16,"600 E Pine St, Seattle, WA 98122",Happy Hour,20.5,Fogón Cocina Mexicana,1148,Yes
17,"600 E Pine St, Seattle, WA 98122",Outdoor Seating,20.5,Fogón Cocina Mexicana,1148,No
18,"600 E Pine St, Seattle, WA 98122",Wi-Fi,20.5,Fogón Cocina Mexicana,1148,Free
19,"600 E Pine St, Seattle, WA 98122",Has TV,20.5,Fogón Cocina Mexicana,1148,Yes
20,"600 E Pine St, Seattle, WA 98122",Dogs Allowed,20.5,Fogón Cocina Mexicana,1148,No
21,"600 E Pine St, Seattle, WA 98122",Drive-Thru,20.5,Fogón Cocina Mexicana,1148,No
22,"600 E Pine St, Seattle, WA 98122",Caters,20.5,Fogón Cocina Mexicana,1148,No
23,"2203 1st Ave, Seattle, WA 98121",Liked by Vegetarians,20.5,Villa Escondida,255,Yes
24,"2203 1st Ave, Seattle, WA 98121",Takes Reservations,20.5,Villa Escondida,255,Yes
25,"2203 1st Ave, Seattle, WA 98121",Delivery,20.5,Villa Escondida,255,No
26,"2203 1st Ave, Seattle, WA 98121",Take-out,20.5,Villa Escondida,255,Yes
27,"2203 1st Ave, Seattle, WA 98121",Accepts Credit Cards,20.5,Villa Escondida,255,Yes
28,"2203 1st Ave, Seattle, WA 98121",Accepts Apple Pay,20.5,Villa Escondida,255,No
29,"2203 1st Ave, Seattle, WA 98121",Accepts Google Pay,20.5,Villa Escondida,255,Yes
30,"2203 1st Ave, Seattle, WA 98121",Good For,20.5,Villa Escondida,255,Dinner
31,"2203 1st Ave, Seattle, WA 98121",Parking,20.5,Villa Escondida,255,Street
32,"2203 1st Ave, Seattle, WA 98121",Bike Parking,20.5,Villa Escondida,255,Yes
33,"2203 1st Ave, Seattle, WA 98121",Wheelchair Accessible,20.5,Villa Escondida,255,Yes
34,"2203 1st Ave, Seattle, WA 98121",Good for Kids,20.5,Villa Escondida,255,Yes
35,"2203 1st Ave, Seattle, WA 98121",Good for Groups,20.5,Villa Escondida,255,Yes
36,"2203 1st Ave, Seattle, WA 98121",Attire,20.5,Villa Escondida,255,Casual
37,"2203 1st Ave, Seattle, WA 98121",Ambience,20.5,Villa Escondida,255,Casual
38,"2203 1st Ave, Seattle, WA 98121",Noise Level,20.5,Villa Escondida,255,Average
39,"2203 1st Ave, Seattle, WA 98121",Alcohol,20.5,Villa Escondida,255,Full Bar
40,"2203 1st Ave, Seattle, WA 98121",Happy Hour,20.5,Villa Escondida,255,Yes
41,"2203 1st Ave, Seattle, WA 98121",Outdoor Seating,20.5,Villa Escondida,255,Yes
42,"2203 1st Ave, Seattle, WA 98121",Wi-Fi,20.5,Villa Escondida,255,No
43,"2203 1st Ave, Seattle, WA 98121",Has TV,20.5,Villa Escondida,255,Yes
44,"2203 1st Ave, Seattle, WA 98121",Waiter Service,20.5,Villa Escondida,255,Yes
45,"2203 1st Ave, Seattle, WA 98121",Caters,20.5,Villa Escondida,255,Yes
46,"5905 Airport Way S, Seattle, WA 98108",Liked by Vegans,20.5,Fonda La Catrina,774,Yes
47,"5905 Airport Way S, Seattle, WA 98108",Liked by Vegetarians,20.5,Fonda La Catrina,774,Yes
48,"5905 Airport Way S, Seattle, WA 98108",Takes Reservations,20.5,Fonda La Catrina,774,No
49,"5905 Airport Way S, Seattle, WA 98108",Delivery,20.5,Fonda La Catrina,774,No
50,"5905 Airport Way S, Seattle, WA 98108",Take-out,20.5,Fonda La Catrina,774,Yes
51,"5905 Airport Way S, Seattle, WA 98108",Accepts Credit Cards,20.5,Fonda La Catrina,774,Yes
52,"5905 Airport Way S, Seattle, WA 98108",Accepts Apple Pay,20.5,Fonda La Catrina,774,No
53,"5905 Airport Way S, Seattle, WA 98108",Accepts Google Pay,20.5,Fonda La Catrina,774,No
54,"5905 Airport Way S, Seattle, WA 98108",Good For,20.5,Fonda La Catrina,774,"Lunch, Dinner"
55,"5905 Airport Way S, Seattle, WA 98108",Parking,20.5,Fonda La Catrina,774,Street
56,"5905 Airport Way S, Seattle, WA 98108",Bike Parking,20.5,Fonda La Catrina,774,Yes
57,"5905 Airport Way S, Seattle, WA 98108",Good for Kids,20.5,Fonda La Catrina,774,Yes
58,"5905 Airport Way S, Seattle, WA 98108",Good for Groups,20.5,Fonda La Catrina,774,Yes
59,"5905 Airport Way S, Seattle, WA 98108",Attire,20.5,Fonda La Catrina,774,Casual
60,"5905 Airport Way S, Seattle, WA 98108",Ambience,20.5,Fonda La Catrina,774,Casual
61,"5905 Airport Way S, Seattle, WA 98108",Noise Level,20.5,Fonda La Catrina,774,Loud
62,"5905 Airport Way S, Seattle, WA 98108",Alcohol,20.5,Fonda La Catrina,774,Full Bar
63,"5905 Airport Way S, Seattle, WA 98108",Happy Hour,20.5,Fonda La Catrina,774,Yes
64,"5905 Airport Way S, Seattle, WA 98108",Outdoor Seating,20.5,Fonda La Catrina,774,Yes
65,"5905 Airport Way S, Seattle, WA 98108",Wi-Fi,20.5,Fonda La Catrina,774,No
66,"5905 Airport Way S, Seattle, WA 98108",Has TV,20.5,Fonda La Catrina,774,No
67,"5905 Airport Way S, Seattle, WA 98108",Waiter Service,20.5,Fonda La Catrina,774,Yes
68,"5905 Airport Way S, Seattle, WA 98108",Caters,20.5,Fonda La Catrina,774,No
69,"5905 Airport Way S, Seattle, WA 98108",Gender Neutral Restrooms,20.5,Fonda La Catrina,774,Yes
70,"5431 Ballard Ave NW, Seattle, WA 98107",Takes Reservations,20.5,La Carta de Oaxaca,1199,No
71,"5431 Ballard Ave NW, Seattle, WA 98107",Delivery,20.5,La Carta de Oaxaca,1199,No
72,"5431 Ballard Ave NW, Seattle, WA 98107",Take-out,20.5,La Carta de Oaxaca,1199,Yes
73,"5431 Ballard Ave NW, Seattle, WA 98107",Accepts Credit Cards,20.5,La Carta de Oaxaca,1199,Yes
74,"5431 Ballard Ave NW, Seattle, WA 98107",Accepts Apple Pay,20.5,La Carta de Oaxaca,1199,No
75,"5431 Ballard Ave NW, Seattle, WA 98107",Good For,20.5,La Carta de Oaxaca,1199,Dinner
76,"5431 Ballard Ave NW, Seattle, WA 98107",Parking,20.5,La Carta de Oaxaca,1199,Street
77,"5431 Ballard Ave NW, Seattle, WA 98107",Bike Parking,20.5,La Carta de Oaxaca,1199,Yes
78,"5431 Ballard Ave NW, Seattle, WA 98107",Wheelchair Accessible,20.5,La Carta de Oaxaca,1199,Yes
79,"5431 Ballard Ave NW, Seattle, WA 98107",Good for Kids,20.5,La Carta de Oaxaca,1199,Yes
